1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6,1,7,5,17,8,20,13, 15,19,16,11,12,2,4,9,3,10,14,18
18,2,3,4,1,6,12,9,7,10,11,15,20,14,16,8,17,5,20,19
20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
8,2,3,4,1,6,9,18,14,10,11,7,20,16,15,17,12,5,13,19
13,19,18,17,4,15,14,7,16,11,1,9,8,20,6,5,10,3,2,12
15,16,19,1,2,6,4,8,7,3,20,18,12,11,5,10,9,14,17,13
1,19,18,20,16,15,14,13,12,9,11,8,10,7,6,5,4,3,2,17
5,4,3,2,1,6,7,8,9,10,11,13,15,17,19,12,14,16,18,20
20,1,19,2,18,3,17,4,16,5,14,6,13,7,12,8,11,9,10,15
5,6,4,7,3,8,2,9,1,10,15,16,14,17,13,18,12,19,11,20
9,8,7,6,5,4,3,2,1,19,18,17,16,15,14,13,12,11,20,10
